date,title,url
15 May,"UzhNU presented a large-scale international project ""Cross-Border Cooperation Smart Energy"" (CBCSmartEnergy)",/en/news/UzhNU-presented-a-large-scale-international-project-Cross-Border.htm
11 July,An intern of UzhNU participated in the Second International Course in Forensic Odontology in Iceland,/en/news/intern-participated-in-International-Course-Forensic-Odontology.htm
13 June,Election of the dean and meeting with UzhNU leadership at the Faculty of Medicine,/en/news/Election-of-the-dean-meeting-UzhNU-leadership-Faculty-of-Medicine.htm
1 December,Scholars of UzhNU and University of Central Lancashire discussed culture as a component of war,/en/news/Scholars-of-UzhNU-and-University-of-Central-Lancashire-discussed.htm
25 February,Coffee with the Dean / Coffee with a Student: Top 5 Reasons to Join the Faculty of Foreign Philology,/en/news/5-Reasons-to-Join-the-Faculty-of-Foreign-Philology.htm
28 July,Master's double diploma programme in the field of IT between a Slovak university and UzhNU,/en/news/Masters-double-diploma-programme-in-the-field-of-IT-.htm
15 November,The Faculty of Law of UzhNU has launched a DRC Initiative Fund project,/en/news/The-Faculty-of-Law-of-UzhNU-has-launched-a-DRC-Initiative-Fund.htm
17 March,Ambassador of Latvia to Ukraine met with students of international relations of UzhNU,/en/news/Ambassador-of-Latvia-to-Ukraine-met-with-students-of-UzhNU.htm
15 November,Rector's Congratulations on the International Students' Day,/en/news/Rectors-Congratulations-on-the-International-Students-Day.htm
16 May,"Rector of UzhNU held the first neurosurgical master class in Ukraine, the operation was broadcast online",/en/news/Rector-of-UzhNU-held-first-neurosurgical-master-class-in-Ukraine.htm
10 November,"VII International Scientific and Practical Conference proceedings ""The Format of the Development of Relations between Ukraine and Countries of Central Europe in the Context of the Russian-Ukrainian war"" have been published",/en/news/VII-International-Scientific-and-Practical-Conference-proceedings.htm
7 June,It is possible to master foreign languages at university; introduction of innovative approaches at UzhNU (Video),/en/news/It-is-possible-to-master-foreign-languages-at-university.htm
9 June,Reasons to choose studies at the Faculty of Information Technologies of UzhNU,/en/news/Reasons-to-choose-studies-at-Faculty-of-Information-Technologie.htm
3 April,Office for legal support to victims of military invasion opened at the Faculty of Law of UzhNU,/en/news/Office-for-legal-support-to-victims-of-military-invasion-opened.htm
26 November,Lecturers of the Faculty of International Relations visited Hungarian - Ukrainian Business Forum,/en/news/Lecturers-of-the-Faculty-of-International-Relations-visited-forum.htm
15 May,"Male choir of UzhNU ""Boyan"" celebrated its 55th anniversary",/en/news/Male-choir-of-UzhNU-Boyan-celebrated-its-55th-anniversary.htm
9 November,Border and its impact on socio-economic development has been discussed with Slovak partners at UzhNU,/en/news/Border-and-its-impact-on-socio-economic-development-discussed.htm
7 December,"Christoph le Rigoler, the First Councelor to the Embassy of France in Ukraine, paid a visit to the Faculty of Foreign Philology of UzhNU",/en/news/Christoph-le-Rigoler-the-First-Councelor-to-the-Embassy-of-France.htm
7 April,Coffee with the Dean / Coffee with a Student: Top 5 Reasons to Join the Faculty of Information Technologies,/en/news/Coffee-with-the-Dean-Faculty-of-Information-Technologies.htm
17 September,Meeting with the Prosecutor General of the Slovak Republic took place at the Faculty of Law,/en/news/Meeting-with-the-Prosecutor-General-of-the-Slovak-Republic.htm
27 June,"We invite you to study in ""sociology"" and ""social work""",/en/news/We-invite-you-to-study-in-sociology-and-social-work.htm
25 April,"""The Chronicle of the Faculty of Foreign Philology ""50 years"" was presented at UzhNU",/en/news/The-Chronicle-of-the-Faculty-of-Foreign-Philology-50-years.htm
12 August,International Programming Summer School at UzhNU,/en/news/International-Programming-Summer-School-at-UzhNU.htm
27 November,"Topical issues of cross-border cooperation were discussed at the seminar ""Development of cross-border cooperation for the Europeanisation of Ukrainian borders""",/en/news/Topical-issues-of-cross-border-cooperation-were-discussed.htm
25 May,Programmers of UzhNU took part in ACM-ICPC World Finals 2017 (USA),/en/news/Programmers-of-UzhNU-took-part-in-ACM-ICPC-World-Finals-2017-USA.htm
2 November,The Faculty of Law of UzhNU joined the OSCE Academic Mobility Programme in Ukraine,/en/news/The-Faculty-of-Law-of-UzhNU-joined-the-OSCE-Academic-Mobility.htm
17 March,"Guest lecturer, Doctor of Geographical Sciences, Professor Volodymyr Antonenko on the latest trends, advantages and threats of independent travel",/en/news/Guest-lecturer-Doctor-of-Geographical-Sciences-Prof-Antonenko.htm
3 June,Reasons to choose studies at the Faculty of Tourism and International Communication of UzhNU,/en/news/Reasons-to-choose-studies-at-the-Faculty-of-Tourism.htm
12 June,Reasons to choose studies at the Faculty of Philology of Uzhhorod National University,/en/news/Reasons-to-choose-studies-at-the-Faculty-of-Philology.htm
20 January,Horizon Europe: opportunities provided by the EU Programme for scientists were discussed at UzhNU,/en/news/Horizon-Europe-opportunities-provided-by-the-EU-Programme.htm
20 January,Horizon Europe: opportunities provided by the EU Programme for scientists were discussed at UzhNU,/en/news/Horizon-Europe-opportunities-provided-by-the-EU-Programme.htm
28 April,Coffee with the Dean / Coffee with a Student: Top 5 Reasons to Join the Faculty of Tourism and International Communication,/en/news/Top-5-Reasons-Faculty-of-Tourism-and-International-Communication.htm
29 December,First-year students of the Faculty of Philology performed scenes from a traditional Ukrainian Christmas vertep under the guidance of the associate professor of the Department of Ukrainian Literature Oksana Tykhovska,/en/news/First-year-students-of-the-Faculty-of-Philology-vertep.htm
23 April,HERCULES Specialised Course: The multi-technique approach of CERIC-ERIC as a tool for Nano-science,/en/news/HERCULES-Specialised-Course-The-multi-technique-approach.htm
26 October,The Faculty of Chemistry is 75 (video),/en/news/The-Faculty-of-Chemistry-is-75-video.htm
29 May,"A first-year student of the Faculty of Tourism and International Communication became ""Miss UzhNU-2018""!",/en/news/A-first-year-student-of-the-Faculty-of-Tourism-Miss-UzhNU-2018.htm
10 November,Meeting with Consul General of the Czech Republic in Lviv Pavel Pesek took place at UzhNU,/en/news/Meeting-with-Consul-General-of-Czech-Republic-in-Lviv-Pavel-Pesek.htm
5 May,Coffee with the dean / coffee with a student: top 5 reasons to enter the Faculty of Physics,/en/news/top-5-reasons-to-enter-the-Faculty-of-Physics.htm
19 February,"Results of the project ""Uzhhorod, breathe deeply!” were presented at the Faculty of Chemistry",/en/news/Results-of-the-project-Uzhhorod-breathe-deeply-were-presented.htm
20 November,"Presentation of international program ""Internship in Turkey 2018"" at UzhNU",/en/news/Presentation-of-international-program-Internship-in-Turkey-2018.htm
2 October,The museum - collection of Helena Rudlovchak’s works was solemnly opened at the Faculty of Philology,/en/news/The-museum---collection-of-Helena-Rudlovchaks-works-was-solemnly.htm
21 May,UzhNU team took part in the All-Ukrainian Innovation Festival,/en/news/UzhNU-team-took-part-in-the-All-Ukrainian-Innovation-Festival.htm
21 April,Coffee with the Dean/ Coffee with a Student: Top 5 Reasons to Join the Faculty of Chemistry,/en/news/Top-5-Reasons-to-Join-the-Faculty-of-Chemistry.htm
7 May,The delegation of the Vysočina Region paid a working visit to UzhNU,/en/news/The-delegation-of-the-Vysoina-Region-paid-working-visit-to-UzhNU.htm
5 July,"The Faculty of Physics invites to join a new training course ""Biomedical engineering""",/en/news/The-Faculty-of-Physics-training-course-Biomedical-engineering.htm
26 February,Vasyl Lendel: “Over 70% of our graduate students are already working in their specialties”,/en/news/Vasyl-Lendel-Over-70-graduate-students-are-working-in-specialties.htm
